"Index_ETF","Active_Return","Beta","Correlation_SP500","Information_Ratio","Jensen_Alpha","Tracking_Error"
"sp500",0,1,1,NA,0,NA
"ridge",0.0332319690605263,1.03100502180715,0.994126222009042,1.66349553981201,0.0292066823285366,0.0199771915615006
"lasso",0.0349971078783833,1.03188730442197,0.994269232125853,1.76708436981976,0.030855882151931,0.0198050010945165
"en1",0.035011624524184,1.03194848649788,0.994269197626581,1.76745687720988,0.0308624518010733,0.0198090403084988
"en2",0.0350147223780677,1.03194813880779,0.994269230188863,1.76762002826709,0.0308656009716582,0.019808964493571
"adlasso",0.0364929863144436,1.03336071916089,0.994173871025814,1.81964261351486,0.0321594349408077,0.0200550295115111
"ridge_dcsis",0.00214975796045902,0.992523376505361,0.982497779038481,0.0665344658655286,0.00313013080194086,0.0323104414004593
"lasso_dcsis",0.00510172336628112,0.995290093304838,0.983515669399034,0.162446912175974,0.00572024151184903,0.0314054807071652
"en1_dcsis",0.00503522340154694,0.995297939299259,0.983438686527034,0.159946174849959,0.00565271844860772,0.0314807366057383
"en2_dcsis",0.00499820809562346,0.995411308553811,0.983372426863051,0.158430337247226,0.00560095407861319,0.0315483018118172
"adlasso_dcsis",0.00396881274016225,0.993348256331508,0.983233928508408,0.12548464916951,0.00483994777890429,0.031627874536279
